"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.4","log2fold_change","Auc"
"23","ENSG00000087086","hurdle",6.50049624925661e-182,2.698075,5.138773,2.440698,0.975
"158","ENSG00000167996","hurdle",1.40346537442539e-174,2.213049,4.535627,2.322578,0.97
"214","ENSG00000204482","hurdle",1.03018705436118e-152,-1.227227,2.949809,4.177036,0.968
"37","ENSG00000101439","hurdle",1.2076869786142e-133,-0.7383371,2.7734692,3.5118063,0.968
"213","ENSG00000204472","hurdle",4.48728931235399e-142,-0.9713619,2.9881789,3.9595408,0.964
"93","ENSG00000130066","hurdle",9.17599382216907e-124,-0.7341851,2.579434,3.3136191,0.946
"133","ENSG00000158869","hurdle",5.19794599619802e-115,-1.109136,2.373562,3.482698,0.945
"5","ENSG00000011600","hurdle",1.99832569878633e-94,-0.3240988,2.5691271,2.8932259,0.934
"199","ENSG00000196154","hurdle",4.24458606070826e-78,1.322031,3.268021,1.94599,0.92
"206","ENSG00000197766","hurdle",3.02013092178326e-107,-2.283784,1.360486,3.64427,0.914
"222","ENSG00000224397","hurdle",9.27945304057947e-121,-2.760233,1.002699,3.762932,0.904
"205","ENSG00000197746","hurdle",2.17354260622075e-74,-1.248709,1.293022,2.541731,0.896
"47","ENSG00000104904","hurdle",4.55924391718793e-87,1.017923,2.693304,1.675381,0.896
"39","ENSG00000103187","hurdle",3.59387690372928e-103,-0.5437103,2.0738537,2.617564,0.893
"143","ENSG00000163131","hurdle",5.89724888435983e-93,-1.416205,1.614844,3.031049,0.889
"144","ENSG00000163191","hurdle",3.87826530831627e-70,-1.164153,1.363977,2.52813,0.88
"9","ENSG00000025708","hurdle",3.95269912144179e-66,-1.9478839,0.8533817,2.8012656,0.871
"30","ENSG00000100097","hurdle",1.00938808044314e-50,-0.6997575,1.3070155,2.006773,0.859
"21","ENSG00000085265","hurdle",4.72140821867051e-89,-2.179399,1.093368,3.272767,0.859
"28","ENSG00000092841","hurdle",3.62546419820752e-56,0.7232725,2.1589509,1.4356784,0.857
"207","ENSG00000197956","hurdle",7.16669138247895e-48,0.6499525,2.1044884,1.4545359,0.849
