"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.1","log2fold_change","Auc"
"477","Lama1","hurdle",3.43240115919132e-09,-2.498806,3.523562,6.022368,0.999
"479","Lamb1","hurdle",8.32577631664961e-15,-0.3696082,3.5484366,3.9180448,0.996
"208","Col4a1","hurdle",2.77422339194896e-14,-0.4111673,4.5789387,4.990106,0.996
"209","Col4a2","hurdle",1.11287442383158e-09,-1.661468,2.827819,4.489287,0.995
"168","Cd63","hurdle",6.41717422464581e-09,0.4629823,3.3074285,2.8444462,0.995
"851","Sparc","hurdle",8.72636030309137e-07,2.277167,4.995485,2.718318,0.994
"480","Lamc1","hurdle",3.03078934074138e-10,-1.268753,2.232661,3.501414,0.993
"856","Srgn","hurdle",1.22315266979378e-07,-2.498806,2.169925,4.668731,0.992
"442","Ifi30","hurdle",2.00084564360658e-08,-1.320608,2.035624,3.356232,0.99
"236","Ctsl","hurdle",2.51390551137031e-09,1.186389,4.314697,3.128308,0.99
"369","Gata6","hurdle",2.02177013150988e-07,-2.833485,1.201634,4.035119,0.989
"237","Ctsz","hurdle",1.70960905137354e-07,-0.8999712,1.8073549,2.7073261,0.988
"82","Apoe","hurdle",1.35885158193337e-07,0.7723575,3.4195389,2.6471814,0.984
"227","Cst3","hurdle",6.51254473517817e-08,-0.8706868,1.722466,2.5931528,0.983
"788","Serpinh1","hurdle",1.23539796082812e-06,-0.7681265,2.2326608,3.0007873,0.981
"384","Glul","hurdle",3.06574103659045e-08,-0.6556293,2.2326608,2.8882901,0.981
"737","Rhox5","hurdle",5.60623958099447e-06,-1.644847,1.887525,3.532372,0.98
"322","Fabp3","hurdle",3.04401218027816e-06,-0.2834713,3.3362834,3.6197547,0.978
"970","Txndc12","hurdle",4.81550480746792e-05,-2.0860103,0.5849625,2.6709728,0.956
"279","E130012A19Rik","hurdle",3.0055150515223e-06,0.01210366,2.56071495,2.54861129,0.953
"394","Gnai2","hurdle",3.38138751794469e-05,0.4042963,2.3504972,1.9462009,0.942
"725","Rdx","hurdle",0.000636138767287178,-0.05768314,1.63226822,1.68995136,0.927
"943","Tpd52","hurdle",0.000437344642760992,-1.5335713,0.7655347,2.299106,0.923
"121","Atp6v1g1","hurdle",0.000742979160807961,-0.7591545,1.2016339,1.9607884,0.923
"929","Tmem256","hurdle",0.00167450505410183,-0.8901435,0.9259994,1.8161429,0.921
"217","Cotl1","hurdle",0.000486129022488527,-1.4302668,0.9259994,2.3562662,0.916
"612","Oat","hurdle",0.000823447242604001,-0.590522,1.432959,2.023481,0.91
"382","Glt25d1","hurdle",0.000592550062604584,-1.281543,1.070389,2.351932,0.905
"435","Hspg2","hurdle",0.0028690527322791,-0.07427874,1.43295941,1.50723815,0.903
"852","Spink3","hurdle",3.57252496454413e-07,-3.219928,1.963474,5.183402,0.899
"118","Atp6v0d1","hurdle",0.00082296674430324,-0.841985,1.321928,2.163913,0.899
"241","Cuta","hurdle",0.00201532756207941,-1.0021154,0.9259994,1.9281148,0.897
"235","Ctsh","hurdle",5.06744547472813e-07,-2.951161,2.169925,5.121086,0.897
"357","Foxq1","hurdle",6.33784906163504e-06,-2.99262,1.070389,4.063009,0.895
"247","Dab2","hurdle",2.01720767751773e-05,-2.760049,1.201634,3.961683,0.89
"702","Pth1r","hurdle",2.92961343640742e-05,-2.724687,1.201634,3.926321,0.889
"631","Pcbd1","hurdle",6.39966720078787e-05,-2.656462,0.7655347,3.4219967,0.888
"115","Atp6v0b","hurdle",0.00484877275179186,0.04832818,1.5360529,1.48772472,0.887
"975","Ubald2","hurdle",0.00224504698689102,-0.7953823,1.2016339,1.9970162,0.886
"489","Lima1","hurdle",0.000581618417935289,-1.5183528,0.1375035,1.6558563,0.883
"304","Epas1","hurdle",8.77964205601612e-05,-2.591318,0.5849625,3.1762805,0.881
"931","Tmem33","hurdle",0.000499706620427333,-1.548952,0.1375035,1.6864555,0.879
"877","Taf1","hurdle",0.00720029279487908,-0.3902381,1.0703893,1.4606274,0.879
"487","Lgmn","hurdle",2.86261984188875e-11,-1.430267,2.906891,4.337158,0.878
"430","Hpcal1","hurdle",0.000333395856393077,-2.4988059,0.3785116,2.8773175,0.877
"358","Fth1","hurdle",0.00584346679406007,2.742741,3.972693,1.229952,0.877
"402","Gpc3","hurdle",0.00025989395919978,-2.4692414,0.5849625,3.0542039,0.876
"848","Snx3","hurdle",0.0107236818665671,-0.4111673,0.9259994,1.3371667,0.872
"252","Ddah1","hurdle",0.000211853780069118,-1.580214,1.070389,2.650603,0.871
"1009","Wdr73","hurdle",0.000683768419969181,-1.4736376,0.1375035,1.6111411,0.87
"803","Sirt2","hurdle",0.00222199402154116,-0.8706868,1.0703893,1.9410761,0.869
"385","Gm14005","hurdle",0.00647989210937664,-0.689319,0.9259994,1.6153184,0.869
