"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.5","log2fold_change","Auc"
"139","Maml3__chr3","hurdle",1.24515284424117e-13,-3.321928,3.061776,6.383704,1
"134","Lrch4__chr5","hurdle",1.24515284424117e-13,-3.321928,3.940167,7.262095,1
"132","Limd1__chr9","hurdle",1.24515284424117e-13,-3.321928,4.620586,7.942514,1
"130","Lemd3__chr10","hurdle",1.24515284424117e-13,-3.321928,4.095924,7.417852,1
"129","Lamb3__chr1","hurdle",1.24515284424117e-13,-3.321928,3.683696,7.005624,1
"127","Klhl42__chr6","hurdle",1.24515284424117e-13,-3.321928,4.116864,7.438792,1
"124","Kdm4b__chr17","hurdle",1.24515284424117e-13,-3.321928,5.534497,8.856425,1
"123","Kcnq1ot1__chr7","hurdle",1.24515284424117e-13,-3.321928,3.655352,6.97728,1
"121","Kcna2__chr3","hurdle",1.24515284424117e-13,-3.321928,3.596935,6.918863,1
"117","Itln1__chr1","hurdle",3.26669883056056e-25,-0.4101714,3.9164766,4.326648,1
"112","Hdgfrp2__chr17","hurdle",1.24515284424117e-13,-3.321928,4.217231,7.539159,1
"106","Gpr34__chrX","hurdle",1.24515284424117e-13,-3.321928,2.277985,5.599913,1
"105","Gorasp1__chr9","hurdle",1.24515284424117e-13,-3.321928,4.074677,7.396605,1
"104","Gmnn__chr13","hurdle",1.24515284424117e-13,-3.321928,3.940167,7.262095,1
"101","Gm4498__chr7","hurdle",1.24515284424117e-13,-3.321928,4.292782,7.61471,1
"99","Gm21269__chr7","hurdle",1.24515284424117e-13,-3.321928,3.263034,6.584962,1
"95","Gm15941__chr15","hurdle",1.24515284424117e-13,-3.321928,3.300124,6.622052,1
"93","Gm13275__chr4","hurdle",1.24515284424117e-13,-3.321928,3.336283,6.658211,1
"91","Gm11567__chr11","hurdle",1.24515284424117e-13,-3.321928,5.549977,8.871905,1
"72","Dpm3__chr3","hurdle",1.24515284424117e-13,-3.321928,4.958843,8.280771,1
"71","Dok5__chr2","hurdle",1.24515284424117e-13,-3.321928,4.663914,7.985842,1
"70","Dok2__chr14","hurdle",1.24515284424117e-13,-3.321928,3.472488,6.794416,1
"69","Dock8__chr19","hurdle",1.24515284424117e-13,-3.321928,2.925999,6.247927,1
"67","Dio2__chr12","hurdle",1.24515284424117e-13,-3.321928,4.177918,7.499846,1
"64","Ddx19b__chr8","hurdle",1.24515284424117e-13,-3.321928,3.916477,7.238405,1
"58","Cttnbp2__chr6","hurdle",1.24515284424117e-13,-3.321928,3.336283,6.658211,1
"55","Cpeb1__chr7","hurdle",1.24515284424117e-13,-3.321928,3.472488,6.794416,1
"54","Clu__chr14","hurdle",1.24515284424117e-13,-3.321928,4.095924,7.417852,1
"53","Clec3a__chr8","hurdle",1.24515284424117e-13,-3.321928,3.738768,7.060696,1
"48","Cep63__chr9","hurdle",1.24515284424117e-13,-3.321928,3.439623,6.761551,1
"45","Cct5__chr15","hurdle",1.24515284424117e-13,-3.321928,3.405992,6.72792,1
"42","Ccdc172__chr19","hurdle",1.24515284424117e-13,-3.321928,4.399171,7.721099,1
"37","C77080__chr4","hurdle",1.24515284424117e-13,-3.321928,4.255501,7.577429,1
"32","Bax__chr7","hurdle",1.24515284424117e-13,-3.321928,4.217231,7.539159,1
"31","Bard1__chr1","hurdle",1.24515284424117e-13,-3.321928,3.104337,6.426265,1
"25","Ankrd23__chr1","hurdle",1.24515284424117e-13,-3.321928,4.514122,7.83605,1
"23","Adss__chr1","hurdle",1.24515284424117e-13,-3.321928,5.289097,8.611025,1
"21","Adam18__chr8","hurdle",1.24515284424117e-13,-3.321928,4.217231,7.539159,1
"10","4921539E11Rik__chr4","hurdle",1.24515284424117e-13,-3.321928,3.892391,7.214319,1
"7","2010107G12Rik__chr6","hurdle",1.24515284424117e-13,-3.321928,3.738768,7.060696,1
"4","1700063D05Rik__chr9","hurdle",1.24515284424117e-13,-3.321928,2.827819,6.149747,1
"2","1700020I14Rik__chr2","hurdle",1.24515284424117e-13,-3.321928,3.867896,7.189824,1
"1","1600023N17Rik__chr5","hurdle",1.24515284424117e-13,-3.321928,3.683696,7.005624,1
"135","Lrp1__chr10","hurdle",9.2870636346149e-09,3.997905,7.029011,3.031106,0.999
"108","Gtf3c4__chr2","hurdle",5.58765513933292e-19,-0.467164,3.336283,3.803447,0.999
"98","Gm20752__chr3","hurdle",7.41265536629605e-12,-2.229162,3.765535,5.994697,0.998
"39","Cbln1__chr8","hurdle",5.27691737235233e-07,3.810454,6.608809,2.798355,0.995
"6","1700086O06Rik__chr18","hurdle",1.73228669836013e-12,0.8148856,4.1779178,3.3630322,0.994
"8","2810049E08Rik__chr13","hurdle",5.37829207054525e-15,0.2800967,3.8429788,3.5628821,0.99
"204","Ticrr__chr7","hurdle",0.00153162762917544,-0.3744221,1.5109619,1.885384,0.919
"192","Snora23__chr7","hurdle",0.00865310153446423,1.070389,2.548437,1.478048,0.882
"96","Gm16404__chrX","hurdle",4.43291499767233e-10,-3.321928,3.536053,6.857981,0.875
"19","Acads__chr5","hurdle",0.00726778198479719,0.3906644,1.9448584,1.554194,0.872
"155","Nin__chr12","hurdle",0.0371086348534232,0.6520028,1.7441611,1.0921583,0.869
"136","Lrp10__chr14","hurdle",0.00451360247053993,3.53916,5.279843,1.740683,0.859
"122","Kcnh3__chr15","hurdle",0.0253815205656026,3.377422,4.74685,1.369428,0.858
"153","Neto2__chr8","hurdle",0.021018107433791,-0.6418118,0.8875253,1.5293371,0.853
"78","Fan1__chr7","hurdle",0.0557131618277615,1.688354,2.722466,1.034112,0.853
"24","Agl__chr3","hurdle",0.0397386012667875,4.210445,5.534497,1.324052,0.853
"206","Trem3__chr17","hurdle",0.0309060605738124,-0.2722004,1.0703893,1.3425897,0.852
"172","Ripk1__chr13","hurdle",0.0110652030350171,1.024379,2.608809,1.58443,0.851
"115","Ifih1__chr2","hurdle",0.018001763871471,-0.5912602,1.0703893,1.6616495,0.851
"157","Npat__chr9","hurdle",0.0318691131481558,0.005199422,1.378511623,1.373312201,0.844
"86","Fxyd6__chr9","hurdle",0.0538288893822898,1.356566,2.419539,1.062973,0.844
"203","Thap2__chr10","hurdle",0.0496342215103869,0.4011967,1.5109619,1.1097652,0.842
"94","Gm15114__chrX","hurdle",0.0149037109985566,0.1348946,1.7441611,1.6092665,0.842
"34","BC048671__chr6","hurdle",0.0410518884584641,-0.04716395,1.23266076,1.27982471,0.842
"126","Klhl23__chr2","hurdle",0.0407745067714528,-0.2018083,1.0703893,1.2721976,0.841
"171","Rgsl1__chr1","hurdle",0.0573030482943697,0.6583752,1.7441611,1.0857859,0.838
"160","Olfr965__chr9","hurdle",0.0506679157101564,1.236975,2.350497,1.113522,0.837
"143","Mettl16__chr11","hurdle",0.00502189392675805,3.946914,5.764208,1.817294,0.831
"177","Scgb1b30__chr7","hurdle",0.0311886092460015,-0.1263218,1.5109619,1.6372837,0.829
"11","4930426L09Rik__chr2","hurdle",0.0653119152866464,0.03721982,1.07038933,1.03316951,0.829
"144","Mettl18__chr1","hurdle",0.0617930182414519,1.117843,2.201634,1.083791,0.827
"175","Rpap2__chr5","hurdle",0.0417004871038923,0.1705726,1.5109619,1.3403893,0.826
"147","Mid2__chrX","hurdle",0.0525357566017068,0.1296625,1.3785116,1.2488491,0.824
"216","Wdr36__chr18","hurdle",0.0927731152402136,2.910225,3.986411,1.076186,0.818
"46","Cdkn1a__chr17","hurdle",0.0835551392429928,3.650546,4.692092,1.041546,0.817
"181","Seh1l__chr18","hurdle",0.0406379162453425,-0.3359137,1.0703893,1.406303,0.816
"158","Olfr1002__chr2","hurdle",0.0469272766070071,0.3204555,1.6322682,1.3118127,0.816
"174","Rpa1__chr11","hurdle",0.0359613381478267,0.8619205,2.2016339,1.3397134,0.814
"59","Cyp1a1__chr9","hurdle",0.0727804514085549,0.1252879,1.2326608,1.1073729,0.814
"35","BC068281__chr12","hurdle",0.0742220415376823,0.1335884,1.2326608,1.0990724,0.814
"180","Sec23a__chr12","hurdle",0.0348994610171409,0.4831381,1.9448584,1.4617203,0.813
"119","Jmjd8__chr17","hurdle",0.0479737123128593,-0.3535122,0.8875253,1.2410375,0.811
"164","Polr2e__chr10","hurdle",0.0222375431606156,-0.7278353,0.4329594,1.1607947,0.81
"43","Ccdc78__chr17","hurdle",0.0738618814580538,-0.008194838,1.070389328,1.078584166,0.81
"63","Dcaf12__chr4","hurdle",0.00266111279385938,3.849731,6.019035,2.169304,0.804
"116","Irx3__chr8","hurdle",0.0223978722607067,-0.6605737,0.4329594,1.0935331,0.802
"50","Chn1__chr2","hurdle",0.00103783243953164,-0.4032031,1.3785116,1.7817147,0.802
"44","Ccnyl1__chr1","hurdle",0.0218592817198397,4.07166,5.682292,1.610632,0.802
"60","D630037F22Rik__chr10","hurdle",0.0426663815496809,0.7752282,2.2016339,1.4264057,0.801
"107","Grip2__chr6","hurdle",0.0534173258749661,-0.3682406,0.6780719,1.0463125,0.798
"66","Defa26__chr8","hurdle",0.00444944452210893,-0.5634522,1.2326608,1.796113,0.796
"13","4930520P13Rik__chr13","hurdle",0.0234736758116372,-0.6343748,0.4329594,1.0673342,0.796
"186","Slc25a11__chr11","hurdle",0.0904071606268469,1.159084,2.201634,1.04255,0.795
"68","Dnd1__chr18","hurdle",0.0575741429485878,0.2247389,1.6322682,1.4075293,0.791
"194","Snord19__chr14","hurdle",0.0943698003153827,0.1709972,1.2326608,1.0616636,0.789
"57","Crygd__chr1","hurdle",0.111322627932327,1.878274,2.925999,1.047725,0.788
"137","Magi3__chr3","hurdle",0.0741589298320232,-0.1195568,1.0703893,1.1899461,0.786
"5","1700065I17Rik__chr18","hurdle",0.111206306295281,0.6626078,1.7441611,1.0815533,0.785
"197","Syf2__chr4","hurdle",0.0454585065435249,-0.4261348,0.8875253,1.3136601,0.784
"47","Cebpg__chr7","hurdle",0.104569460489308,0.2070465,1.2326608,1.0256143,0.783
"33","Baz1b__chr5","hurdle",0.0968718028039307,1.786645,2.827819,1.041174,0.783
"185","Shisa3__chr5","hurdle",0.0896052204474258,1.659601,2.827819,1.168218,0.782
"215","Wdr13__chrX","hurdle",0.0092455311786171,-0.355345,1.232661,1.588006,0.78
"199","Taar6__chr10","hurdle",0.130113169810645,1.540134,2.666757,1.126623,0.78
"56","Cpne7__chr8","hurdle",0.131624041017309,4.329005,5.429616,1.100611,0.776
"142","Mettl1__chr10","hurdle",0.0398008847728246,-0.5182643,0.8875253,1.4057896,0.774
"151","Mxra8__chr4","hurdle",0.1079929122904,1.727987,2.972693,1.244706,0.771
"18","Abi1__chr2","hurdle",0.171642698881195,1.91168,3.061776,1.150096,0.768
"103","Gm6602__chr3","hurdle",0.102789555367879,0.1912287,1.3785116,1.1872829,0.764
"205","Tmem218__chr9","hurdle",0.0235925156701171,-0.3203162,1.2326608,1.552977,0.763
"141","Mcidas__chr13","hurdle",0.0264780433114032,-0.1489268,1.2326608,1.3815876,0.763
"111","Gzmm__chr10","hurdle",0.0646893313892215,0.7841356,2.2779847,1.4938491,0.762
"83","Fmo1__chr1","hurdle",0.102827032841768,0.2518809,1.5109619,1.259081,0.757
"178","Scrt2__chr2","hurdle",0.0970105849681432,0.3881106,1.7441611,1.3560505,0.755
"214","Vsx1__chr2","hurdle",0.0997698727085399,-0.7558047,0.6780719,1.4338766,0.754
"207","Ttc27__chr17","hurdle",0.153257187353776,0.8061666,1.8479969,1.0418303,0.752
"109","Gtsf1l__chr2","hurdle",0.0475930440964111,0.1279143,1.2326608,1.1047465,0.752
"189","Slc7a14__chr3","hurdle",0.00882267358467182,-0.6635983,1.5109619,2.1745602,0.751
"146","Mgmt__chr7","hurdle",0.123910018966794,-0.4500897,0.6780719,1.1281616,0.751
"191","Snora20__chr17","hurdle",0.146047422342431,-0.4546668,0.6780719,1.1327387,0.75
"209","Unc13b__chr4","hurdle",0.0363804541399148,-0.5230633,1.0703893,1.5934526,0.749
"170","Rell1__chr5","hurdle",0.023965742967324,0.4404619,1.6322682,1.1918063,0.749
"208","Tubgcp5__chr7","hurdle",0.0202263677380462,-0.6225548,1.3785116,2.0010664,0.748
"187","Slc39a12__chr2","hurdle",0.103018476220705,-0.277983,0.8875253,1.1655083,0.748
"152","Ncl__chr1","hurdle",0.0940221650978507,-0.2544203,0.8875253,1.1419456,0.748
"145","Mgea5__chr19","hurdle",0.0869144548745489,-0.2849528,0.8875253,1.1724781,0.748
"167","Pstpip2__chr18","hurdle",0.136696479082599,-0.6780528,0.6780719,1.3561247,0.747
"62","Dcaf10__chr4","hurdle",0.156842252520724,-0.4038352,0.6780719,1.0819071,0.747
"125","Klf3__chr5","hurdle",0.0926258021682816,-0.5285674,0.8875253,1.4160927,0.746
"165","Prkag2__chr5","hurdle",0.0853169220854477,-0.5189489,0.8875253,1.4064742,0.745
"148","Mmp15__chr8","hurdle",0.0859142136811819,-0.5080343,0.8875253,1.3955596,0.744
"41","Ccdc138__chr10","hurdle",0.149554410977845,-0.637345,0.6780719,1.3154169,0.743
"201","Tbx18__chr9","hurdle",0.200848522097879,1.498796,2.548437,1.049641,0.742
"40","Cc2d2a__chr5","hurdle",0.193074517934835,-0.7365674,0.4329594,1.1695268,0.742
"188","Slc39a7__chr17","hurdle",0.115618618292341,-0.1946809,0.8875253,1.0822062,0.741
"184","Sh3bp5__chr14","hurdle",0.0258199534924606,-0.4178118,1.2326608,1.6504726,0.741
"89","Gbgt1__chr2","hurdle",0.1205456173389,-0.2178359,0.8875253,1.1053612,0.741
"102","Gm6455__chr5","hurdle",0.0249237110208357,0.8516295,1.9448584,1.0932289,0.74
"100","Gm21541__chr4_JH584293_random","hurdle",0.0619659335554763,0.3081572,1.3785116,1.0703544,0.74
"28","Atp8b3__chr10","hurdle",0.0514789441601694,0.3402193,1.3785116,1.0382923,0.739
"75","Eif2b3__chr4","hurdle",0.0571401650701314,-0.5493969,1.0703893,1.6197862,0.738
"193","Snord12__chr2","hurdle",0.121548141218386,-0.5258127,0.8875253,1.413338,0.737
"80","Fat1__chr8","hurdle",0.15138628785849,-0.60065,0.6780719,1.2787219,0.737
"166","Psg16__chr7","hurdle",0.156076649599883,-0.5833625,0.6780719,1.2614344,0.736
"90","Ggcx__chr6","hurdle",0.13537298810838,0.1803052,1.2326608,1.0523556,0.736
"85","Fpr1__chr17","hurdle",0.0985903344021985,0.01137617,1.07038933,1.05901316,0.736
"219","Zfp11__chr5","hurdle",0.071530925524096,0.1191411,1.2326608,1.1135197,0.734
"26","Apol7b__chr15","hurdle",0.0995735872952534,4.031927,5.316508,1.284581,0.733
"92","Gm12886__chr4","hurdle",0.0442786213628457,-0.2652917,1.2326608,1.4979525,0.73
"176","Sall4__chr2","hurdle",0.175393968881724,-0.5175801,0.6780719,1.195652,0.728
"217","Wdr52__chr16","hurdle",0.135485002953522,-0.449437,0.8875253,1.3369623,0.727
"27","Atp6v1a__chr16","hurdle",0.0356383256907322,0.2474596,1.5109619,1.2635023,0.727
"198","Syt12__chr19","hurdle",0.15492303535037,-0.4222875,0.8875253,1.3098128,0.725
"114","Hist2h3c1__chr3","hurdle",0.2605039021936,-0.5847953,0.4329594,1.0177547,0.724
