"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"Cd3d__chr9","Cd3d__chr9",0.999605728205923,6.71561885907482,0.65698481560421,3.2909221588147e-06
"Hk3__chr13","Hk3__chr13",0.998425283266099,6.63081315229913,0.655801266034616,3.42712294950968e-06
"Cdh7__chr1","Cdh7__chr1",0.998291924648071,6.7292808460274,0.655661764754509,3.44352724751391e-06
"Gm20752__chr3","Gm20752__chr3",0.998510919920582,6.82145511910246,0.655627585962063,3.44755785584279e-06
"Insl3__chr8","Insl3__chr8",0.998761585284452,6.4446008137115,0.655355857619434,3.47976294899978e-06
"Kndc1__chr7","Kndc1__chr7",0.998075184019481,6.79571500650173,0.655288404938807,3.4878018714084e-06
"Klra10__chr6","Klra10__chr6",0.999422950905185,6.35931031689044,0.655287079245885,3.48796004360567e-06
"Klhdc8a__chr1","Klhdc8a__chr1",0.998041540295229,6.35931031689044,0.653905668635929,3.65656239274303e-06
"Gm11567__chr11","Gm11567__chr11",0.999345264849216,6.23074100262691,0.653634120667438,3.6906092182552e-06
"E030025P04Rik__chr11","E030025P04Rik__chr11",0.999687142771193,6.19179950106508,0.653381354320927,3.72257345496184e-06
"Gm21950__chrX","Gm21950__chrX",0.99857671796785,6.23074100262691,0.652865573786071,3.78862099715668e-06
"Fam149b__chr14","Fam149b__chr14",0.99878630903826,7.26772305162742,0.651832262981514,3.92432660326216e-06
"Gm839__chr6","Gm839__chr6",0.998368769866053,6.17192735435346,0.651737820459093,3.93695900017597e-06
"Kdm4b__chr17","Kdm4b__chr17",0.999209401327204,6.08958289312471,0.651071190785164,4.02723777642517e-06
"Eepd1__chr9","Eepd1__chr9",0.999099560966061,7.34961297182452,0.650948426472403,4.04407757056878e-06
"1700106J16Rik__chr11","1700106J16Rik__chr11",0.99889697771895,6.06824086131282,0.650325264285996,4.1306010222242e-06
"Krt18__chr15","Krt18__chr15",0.998056398670288,6.08958289312471,0.649918188128247,4.18807428043839e-06
"4933406J08Rik__chr2","4933406J08Rik__chr2",0.999153599229235,5.93310047493137,0.647412328362915,4.55905828585688e-06
"Csf1__chr3","Csf1__chr3",0.997951530049479,5.93310047493137,0.646210259183159,4.74797164850072e-06
"2610027K06Rik__chr11","2610027K06Rik__chr11",0.999050254841122,5.88508622529017,0.646000948124698,4.78162160469375e-06
"Adss__chr1","Adss__chr1",0.999321217057815,5.86046625851717,0.645563095964985,4.85275128208589e-06
"Ccl27b__chr4_JH584294_random","Ccl27b__chr4_JH584294_random",0.999156800745153,5.83541884047548,0.644650690558094,5.00423394828263e-06
"Ankrd55__chr13","Ankrd55__chr13",0.999021667194199,5.83541884047548,0.64451555700714,5.02704999901424e-06
"Hdgfrp2__chr17","Hdgfrp2__chr17",0.999758527554689,5.80992886572143,0.644463101489231,5.03593336924181e-06
"Gm5506__chr4","Gm5506__chr4",0.998800842749501,5.83541884047548,0.644294732562442,5.06454814278834e-06
"Ear5__chr14","Ear5__chr14",0.998928446295792,7.78201533500419,0.642895977106158,5.3083486327892e-06
"4933405E24Rik__chr11","4933405E24Rik__chr11",0.998997372561297,5.7839804136838,0.64286900248136,5.31315863690783e-06
"Dpm3__chr3","Dpm3__chr3",0.999268802971756,5.73063995591679,0.641333629399193,5.59390590024692e-06
"Epha2__chr4","Epha2__chr4",0.998193601191904,5.67525138605026,0.638245155190696,6.20212341389535e-06
"Aaed1__chr13","Aaed1__chr13",0.999661572709223,5.61765111942733,0.637468081712176,6.36481030899139e-06
"Gm4498__chr7","Gm4498__chr7",0.999609699808244,5.61765111942733,0.637416208811196,6.37581408749736e-06
"H2-K2__chr17","H2-K2__chr17",0.998241691109379,5.61765111942733,0.636048200112332,6.67264765408653e-06
"Ccdc11__chr18","Ccdc11__chr18",0.999073461283918,5.58796498888268,0.6356615406526,6.75890698429908e-06
"Add2__chr6","Add2__chr6",0.998645071279089,5.52669484554198,0.632583927944442,7.48443564566688e-06
"Bax__chr7","Bax__chr7",0.999624376196183,5.49505552836802,0.632123195998318,7.59924358555775e-06
"Gcdh__chr8","Gcdh__chr8",0.999673390805092,5.46270675067016,0.630648408089107,7.97813632290156e-06
"Cyp4f39__chr17","Cyp4f39__chr17",0.999556444231663,5.46270675067016,0.630531461515678,8.00893992046001e-06
"Apof__chr10","Apof__chr10",0.998762965666112,5.46270675067016,0.629737982950128,8.22095500972831e-06
"Ccdc91__chr6","Ccdc91__chr6",0.998059176525703,5.42961596420174,0.627420961383587,8.8711032015868e-06
"Arl4a__chr12","Arl4a__chr12",0.999669093315685,5.39574832817903,0.627322051027216,8.89991958955524e-06
"Lama5__chr2","Lama5__chr2",0.998382728339516,8.53566419081016,0.625686061282128,9.3896790777763e-06
"Best2__chr8","Best2__chr8",0.998026988314178,5.39574832817903,0.625679946025709,9.39155704296009e-06
"Jmjd4__chr11","Jmjd4__chr11",0.997899355344756,5.39574832817903,0.625552313056287,9.43083425415514e-06
"3110015C05Rik__chr13","3110015C05Rik__chr13",0.998796702966127,5.36106648879432,0.624638517138736,9.7166465873013e-06
"Gm21057__chr7","Gm21057__chr7",0.999103543709765,5.32553033156756,0.6230245553114,1.02417159651787e-05
"E430016F16Rik__chr7","E430016F16Rik__chr7",0.999018690522376,5.32553033156756,0.622939702124012,1.02700556643952e-05
"Dis3__chr14","Dis3__chr14",0.998944801062604,5.32553033156756,0.622865812664239,1.02947944447777e-05
"Ctcfl__chr2","Ctcfl__chr2",0.998930916866059,5.28909670241999,0.620813430044823,1.10050657864125e-05
"1700109H08Rik__chr5","1700109H08Rik__chr5",0.998024638270282,5.28909670241999,0.619907151449046,1.13333339585825e-05
"1700020I14Rik__chr2","1700020I14Rik__chr2",0.999612040439079,5.25171909260596,0.619329544467943,1.15473919624242e-05
"Ddx19b__chr8","Ddx19b__chr8",0.999536730641959,5.25171909260596,0.619254234670823,1.15755832425301e-05
"Gm6772__chr12","Gm6772__chr12",0.998955575777631,5.25171909260596,0.618673079806495,1.1795344663269e-05
"Gorasp1__chr9","Gorasp1__chr9",0.999506109426396,5.21334728173344,0.616922404242693,1.24816004524805e-05
"Limd1__chr9","Limd1__chr9",0.999344939829009,5.17392693199981,0.614313150383311,1.3575297193e-05
